,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y
29456,941510.7039,1042479.32,945320.3786,1040582.688,1018,3334.645669,13.0,268285.7143,1331865.385,8782.480315,Slickwater Crosslink Hybrid,80.45403947,399.4023704,326.6202302,19193.02198,62820.06192000001,0.2014360589999999,4.964354469,1.0,110303,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,30.0,943850.2801,1041316.814,945319.3339,1040584.334
29457,1005079.327,1006010.934,945320.3786,1040582.688,1164,3496.062992,13.0,287571.4286,2338810.862,7455.708661,Slickwater Crosslink Hybrid,82.25579151,668.984188,326.6202302,19193.02198,62820.06192000001,0.122956257,8.132973688,1.0,108311,Standalone Well,Unknown,Standalone Well,Primary Frac,30.0,1002870.621,1007136.542,1001183.816,1007865.858
29458,974040.0958,919071.7371,969625.9516,921212.6788,1121,4240.15748,13.0,287571.4286,2338810.862,11967.51969,Slickwater Crosslink Hybrid,82.25579151,668.984188,326.6202302,19193.02198,62820.06192000001,0.122956257,8.132973688,1.0,115649,Standalone Well,Unknown,Standalone Well,Primary Frac,30.0,971406.7837,920275.9745,969626.3948,921211.4688
29459,1020027.611,1060260.416,1024435.206,1058283.922,1164,3949.80315,13.0,156857.1429,1178000.182,7052.165354000001,Slickwater Crosslink Hybrid,39.71264818,298.24275730000005,326.6202302,19193.02198,62820.06192000001,0.133155449,7.510019377000001,1.0,100956,Standalone Well,Unknown,Standalone Well,Primary Frac,30.0,1022506.986,1059155.636,1024435.612,1058286.523
29460,941747.895,937666.9283,937604.6347,939720.3857,1272,3986.220472,22.0,287721.4286,2461593.762,11629.92126,Slickwater Crosslink Hybrid,72.17900529,617.5257437000001,181.1918397,13078.24675,111890.6255,0.116884204,8.555475948,1.0,117049,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,132.0,939334.5096,938841.6099,937602.024,939719.6014
29461,943019.0217,940287.0841,938844.0857,942373.9012,1272,3204.724409,22.0,349428.5714,2104253.016,11654.52756,Slickwater Crosslink Hybrid,109.035451,656.6096635,181.1918397,13078.24675,111890.6255,0.166058249,6.021983284,1.0,102302,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,73.0,940641.7015,941474.552,938844.0336,942375.1228
29462,937257.4896,933808.2229,930461.8644,937286.0668,1272,6783.464567,22.0,484285.7143,3162358.097,11429.13386,Slickwater Crosslink Hybrid,71.39209021,466.1862777,181.1918397,13078.24675,111890.6255,0.153140694,6.529942972000001,1.5,109804,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,50.0,933537.0728,935711.0108,930461.1618,937285.956
29463,940520.4033,935263.3057,932804.0671,939052.0114,1272,7769.685039,22.0,727857.1429,3553278.49,11510.82677,Slickwater Crosslink Hybrid,93.67910529,457.3259369,181.1918397,13078.24675,111890.6255,0.204841007,4.8818350210000006,1.5,114285,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,42.0,936294.8242,937318.1262,932804.0203,939054.3394
29464,1006259.125,1008400.124,1002363.572,1010320.351,1164,3719.488189,22.0,218142.8571,1864324.789,7500.984251999999,Slickwater Crosslink Hybrid,58.64862208,501.2315388,181.1918397,13078.24675,111890.6255,0.117009042,8.546348081,1.0,113263,Standalone Well,Unknown,Standalone Well,Primary Frac,42.0,1004073.731,1009475.429,1002366.752,1010322.222
29465,946210.8104,934085.6183,941874.5431,936349.6894,1343,4274.606299,21.0,119071.4286,611021.9041,11615.15748,Slickwater Crosslink Hybrid,27.85553107,142.9422645,203.5526809,5670.068027,29096.28115,0.194872602,5.1315576830000005,1.0,114193,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,5.0,943743.8161,935523.2473,941934.0878,936464.8441
29466,948751.8202,938508.1338,953165.4272,936270.0801,1343,4339.566929,29.0,711037.3571,2086439.823,11946.85039,Slickwater Only,163.8498423,480.7944795,149.6402389,24518.52956,71946.20079,0.340789775,2.9343603430000003,1.0,110877,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,22.0,951320.7018,937157.758,953167.4751,936270.8085
29467,951283.4543,931579.9322,955645.8518,929366.291,1343,4056.102362,29.0,455142.8571,2115134.756,11643.70079,Slickwater Linear Hybrid,112.2118765,521.4697675,149.6402389,24518.52956,71946.20079,0.215183858,4.647188729,1.0,112570,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,15.0,953857.2463,930334.4382,955645.0116,929367.7533
29468,953539.3364,936138.7227,957942.1734,934000.1405,1343,4237.204724,29.0,388000.0,2712670.92,11871.06299,Slickwater Linear Hybrid,91.56980256,640.2029395,149.6402389,24518.52956,71946.20079,0.143032462,6.991419896,1.0,112094,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,11.0,956015.6884,934947.966,957940.959,933999.8673
29469,924544.2091,937582.8009,920039.1289,939873.1796,1091,4493.110236,10.0,385000.0,3048034.507,11471.45669,Slickwater Linear Hybrid,85.68674699,678.3796406,449.31102360000006,38500.0,304803.4507,0.126310906,7.916972747000001,1.0,116078,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,15.0,921982.1345,938888.2086,920040.411,939872.8455
29470,959799.5221,1044096.523,964225.8925,1041901.466,1018,4335.629921,10.0,384714.2857,2263854.696,8699.80315,Slickwater Crosslink Hybrid,88.7331928,522.1512759999999,449.31102360000006,38500.0,304803.4507,0.169937711,5.884509049,1.0,110195,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,35.0,962243.2688,1042877.307,964226.0211,1041902.346
29471,962897.1104,1039368.673,958399.4469,1041627.75,1018,3858.267717,10.0,368000.0,2243134.514,8651.574803,Slickwater Crosslink Hybrid,95.37959184,581.3838433999999,449.31102360000006,38500.0,304803.4507,0.164056145,6.095474222000001,1.0,109178,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,29.0,960277.5437,1040663.065,958397.6642,1041628.6
29472,967617.4229,1036928.283,958399.4469,1041627.75,1018,4131.8897640000005,10.0,357428.5714,2085458.156,8629.92126,Slickwater Crosslink Hybrid,86.50486626,504.7226028,449.31102360000006,38500.0,304803.4507,0.17139091,5.834615145,1.0,101855,Inner Well,Unknown,Infill Child Well,Primary Frac,29.0,964958.8104,1038328.974,963079.6783,1039177.654
29473,962231.54,1038045.8,958399.4469,1041627.75,1018,2187.007874,10.0,191000.0,644074.9211,8791.338583,Slickwater Crosslink Hybrid,87.33393339,294.500504,449.31102360000006,38500.0,304803.4507,0.296549351,3.3721200060000003,0.0,100314,Outer Well,Unknown,Infill Child Well,Primary Frac,29.0,960728.2983,1038889.71,959735.2539,1039398.441
29474,951198.3269,931404.0989,955599.6959,929278.9224,1343,4232.283465,10.0,490714.2857,2750986.9260000004,11865.15748,Slickwater Only,115.945515,650.0006318,449.31102360000006,38500.0,304803.4507,0.178377542,5.606086894,1.0,115729,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,13.0,953697.013,930221.8584,955600.6232,929277.2148
29475,948088.9228,1031978.167,951900.56,1030236.771,1018,3663.385827000001,10.0,264428.5714,1672913.783,8505.905512000001,Slickwater Crosslink Hybrid,72.18146926,456.6578192,449.31102360000006,38500.0,304803.4507,0.158064674,6.326524299999999,1.0,112389,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,24.0,950331.2016,1030971.414,951900.2837,1030236.651
29476,946795.8632,935267.9504,942378.6551,937383.9601,1343,4163.385827,31.0,236688.9286,916422.1418,11616.14173,Slickwater Crosslink Hybrid,56.85010672,220.1146326,134.3027686,7635.126728,29562.00458,0.258275,3.871842031,1.0,104668,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,24.0,944254.2125,936494.1826,942377.4629,937383.6137
29477,937967.3307,932331.4324,929934.0344,936289.536,1272,8228.346457,31.0,236688.9286,710241.1099,11695.86614,Slickwater Only,56.85010672,86.31638369,134.3027686,7635.126728,29562.00458,0.258275,3.871842031,1.5,114281,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,97.0,933664.0138,934459.4907,929933.6178,936287.1794
29478,962701.5288,919864.9095,958282.9439,922000.5948,1296,4318.897638,31.0,369571.4286,3063911.308,11910.43307,Slickwater Linear Hybrid,85.57077744,709.4197558,134.3027686,7635.126728,29562.00458,0.120620799,8.290444203,1.0,113056,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,19.0,960209.4893,921169.8718,958287.4439,921999.93
29479,947353.772,936391.4517,942950.6457,938527.5062,1343,4074.80315,20.0,496892.8571,2494762.291,11832.67717,Slickwater Linear Hybrid,121.9427881,612.2411806,203.7401575,24844.64286,124738.1145,0.19917443,5.0207248,1.0,104990,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,5.0,944724.9481,937500.7449,942953.2495,938529.0348
29480,1004452.262,921126.5976,942950.6457,938527.5062,1213,4429.133858,20.0,580142.8571,5522232.355,11984.25197,Slickwater Linear Hybrid,130.9833651,1246.797349,203.7401575,24844.64286,124738.1145,0.105055858,9.518745748,1.0,109313,Standalone Well,Unknown,Standalone Well,Primary Frac,5.0,1007295.413,919704.2827,1009263.371,918732.4958
29481,945844.9533,932917.6402,950253.4871,930668.4987,1343,4428.149606,30.0,692410.7143,4431484.268999999,12553.14961,Slickwater Only,156.3657003,1000.75306,147.6049869,23080.35714,147716.1423,0.156248036,6.40008044,1.0,116359,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,8.0,948413.7415,931639.0141,950251.9036,930669.1445
29482,945714.0715,933075.5006,941307.1426,935211.691,1343,4512.795276,30.0,924142.8571,4986288.772,12413.38583,Slickwater Only,204.7828011,1104.922441,147.6049869,23080.35714,147716.1423,0.18533681,5.395582223,1.0,110783,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,27.0,943214.8951,933717.392,941277.2961,934640.2679
29483,941788.5384,924078.1711,946178.7423,922147.1992,1343,4167.322835,30.0,710571.4286,4676938.9860000005,11933.07087,Slickwater Linear Hybrid,170.5102908,1122.288618,147.6049869,23080.35714,147716.1423,0.151930874,6.581940671,1.0,114189,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,2.0,944417.554,922956.1183,946179.8628,922147.6018
29484,1067056.226,993436.13,946178.7423,922147.1992,1164,6212.598425,30.0,880857.1429,3986569.617,11205.70866,Slickwater Linear Hybrid,141.78562380000002,641.6911804,147.6049869,23080.35714,147716.1423,0.2209561669999999,4.525784515,1.5,109777,Standalone Well,Unknown,Standalone Well,Primary Frac,2.0,1070852.358,992863.7268,1073909.177,992385.3341
29485,927542.2189,943166.4997,936606.0879,938577.58,1181,9251.968504,50.0,1086219.2859999998,7956421.005,11695.86614,Slickwater Linear Hybrid,117.4041271,859.9706107999999,185.0393701,21724.38571,159128.4201,0.1365210919999999,7.324875474,2.0,104848,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,49.0,932502.0552,940628.8989,936607.8137,938578.9352
29486,949589.1903,940023.4439,953929.072,937833.9381,1343,4567.913386,31.0,759107.1429,2809737.84,11939.96063,Slickwater Only,166.182473,615.103134,147.3520447,24487.32719,90636.7045,0.270170096,3.701371889,1.0,114331,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,19.0,952113.1048,938721.0454,953927.516,937832.2772
29487,932399.201,924843.8988,925126.0238,928256.0105,1049,7378.937008,37.0,779152.8571,2383408.059,11802.16535,Slickwater Linear Hybrid,105.591477,323.0015457,199.4307299,21058.18533,64416.43404,0.326907033,3.05897365,1.5,108024,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,99.0,928516.1821,926708.739,925123.1131,928255.4705
29488,941353.4055,936308.1705,937007.4686,938457.7987,1272,3884.84252,37.0,1969285.714,3733491.483,11876.9685,Slickwater Linear Hybrid,506.9151978,961.0406249,199.4307299,21058.18533,64416.43404,0.527464901,1.895860746,1.0,113499,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,54.0,938776.3714,937557.7696,936891.226,938514.2366
29489,937927.0649,933268.0142,930380.8171,936990.0168,1272,7599.409449,37.0,608028.4663,10239854.42,11690.94488,Slickwater Linear Hybrid,80.00996267,1347.453968,199.4307299,21058.18533,64416.43404,0.059378624,16.84107733,1.5,114287,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,94.0,934008.603,935408.7079,930592.564,937383.6749
29490,940588.9937,934762.6445,930380.8171,936990.0168,1272,3543.307087,37.0,613285.7143,2967219.709,11693.89764,Slickwater Linear Hybrid,173.0828571,837.4153402000001,199.4307299,21058.18533,64416.43404,0.206686991,4.838233861,1.0,108074,Outer Well,Unknown,Infill Child Well,Primary Frac,94.0,935639.5121,937042.8946,931683.003,939593.0508
29491,940936.094,935534.3758,931793.3225,940064.8109,1272,9513.779528,37.0,1061000.0,6139155.7,11735.23622,Slickwater Crosslink Hybrid,111.5224498,645.2909364,199.4307299,21058.18533,64416.43404,0.172825068,5.786197644,2.0,106448,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,23.0,935852.7513,938009.8088,931795.5787,940065.8961
29492,943733.3929,1072596.73,938796.8655,1074959.972,1018,4452.755906,37.0,646571.4286,2415858.052,10242.12598,Slickwater Crosslink Hybrid,145.2070229,542.5534441000001,199.4307299,21058.18533,64416.43404,0.267636349,3.736413249,1.0,104156,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,940968.0149,1073896.265,938799.5249,1074959.875
29493,941367.1125,924285.6356,937048.7986,926599.2197,1343,4269.685039,30.0,757464.2857,4474790.907,11863.18898,Slickwater Only,177.40519,1048.0377039999998,142.3228346,25248.80952,149159.6969,0.169273671,5.907593257,1.0,115325,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,938767.8078,925691.6392,937050.7314,926597.068
29494,917089.9567,947078.0007,921860.454,956867.1389,1204,9786.417323,56.0,757464.2857,12760793.26,11468.50394,Slickwater Only,177.40519,1303.928991,174.7574522,25248.80952,227871.3082,0.169273671,5.907593257,2.0,110091,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,35.0,919816.9769,952741.5643,921860.6025,956867.4289
29495,1004397.521,1003313.681,999860.0151,1005563.156,1164,4260.826771999999,56.0,299000.0,2521865.89,7428.149606,Slickwater Only,70.17417417,591.8724288999999,174.7574522,25248.80952,227871.3082,0.118563006,8.434334081,1.0,106441,Standalone Well,Unknown,Standalone Well,Primary Frac,35.0,1001820.214,1004595.754,999860.5166,1005565.513
29496,962548.4203,930072.2568,967027.1923,928218.6511,1296,4547.244094,56.0,533142.8571,3879676.065,11997.04724,Slickwater Only,117.245269,853.1928314999999,174.7574522,25248.80952,227871.3082,0.1374194259999999,7.276991547000001,1.0,116685,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,965070.0663,929347.768,967123.8515,928414.148
29497,962832.2288,942587.2433,959180.3178,935122.0335,1296,7437.007874,56.0,1571428.571,7369339.223999999,12029.52756,Slickwater Only,211.29849500000003,990.901092,174.7574522,25248.80952,227871.3082,0.213238735,4.689579506,1.5,100036,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,20.0,960804.7902,938524.3809,959180.5985,935123.8439
29498,1007715.809,1010624.65,1003412.001,1012739.094,1164,4268.700787,56.0,322714.2857,2615547.905,7567.913386,Slickwater Only,75.60011858,612.7269244,174.7574522,25248.80952,227871.3082,0.123383053,8.104840785,1.0,114511,Standalone Well,Unknown,Standalone Well,Primary Frac,20.0,1005325.65,1011801.587,1003412.128,1012738.302
29499,930859.6949,946603.9791,933711.7733,951252.1096,1296,4566.929134,30.0,973857.1429,6118185.304,11755.90551,Slickwater Only,213.241133,1339.67161,152.23097109999998,32461.90476,203939.5101,0.159174182,6.2824258660000005,1.0,102066,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,49.0,932469.6116,949152.6659,933712.6704,951251.6583
29501,1019503.105,1010609.293,1015195.343,1012746.055,1164,4259.84252,30.0,278428.5714,2323078.36,7500.984251999999,Slickwater Only,65.36123581,545.3437184,152.23097109999998,32461.90476,203939.5101,0.119853284,8.343534385,1.0,116898,Standalone Well,Unknown,Standalone Well,Primary Frac,49.0,1017119.611,1011781.11,1015193.884,1012745.748
29502,917470.3084,959917.1329,912852.7818,950736.2884,1204,9380.905512,30.0,1219285.7140000002,9885678.256,11356.29921,Undefined,129.9752687,1053.808531,152.23097109999998,32461.90476,203939.5101,0.1233385999999999,8.107761897,2.0,116352,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,92.0,914758.6749,955181.6443,912384.3138,950988.934
29503,948372.1888,938674.9506,944112.0621,940881.0603,1343,4374.015748,30.0,506142.8571,4448925.831,12513.77953,Slickwater Linear Hybrid,115.7158287,1017.126158,152.23097109999998,32461.90476,203939.5101,0.11376743,8.78986193,1.0,101547,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,13.0,945789.9762,939962.7196,944115.2305,940881.1891
29505,946759.9813,933601.2033,950867.805,931604.3414,1181,4233.267717000001,22.0,487479.5,3679387.617,11920.27559,Slickwater Crosslink Hybrid,115.1544227,869.1601532,192.42125980000003,22158.15909,167244.8917,0.132489303,7.547779172,1.0,100917,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,35.0,948826.864,932586.5911,950870.1332,931607.7314
29506,950450.0329,918974.2199,955233.6146,916646.1509,1343,4725.393701,22.0,991714.2857,5403147.312000001,12017.71654,Slickwater Only,209.8691344,1143.427967,192.42125980000003,22158.15909,167244.8917,0.183543818,5.448290289,1.0,113940,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,9.0,953239.1912,917696.5857,955235.2306,916646.0214
29507,944166.0894,930371.1092,949271.732,928429.8721,1343,4770.669290999999,22.0,849142.8571,4581999.995,12551.1811,Slickwater Only,177.9923959,960.4522374,192.42125980000003,22158.15909,167244.8917,0.1853214439999999,5.396029604,1.0,103950,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,13.0,947187.1568,929464.5741,949271.6359,928430.5359
29508,955935.2501,940547.2642,960363.4941,938555.1234,1296,4315.944882,22.0,884000.0,5355990.031,12001.9685,Slickwater Only,204.8218928,1240.977394,192.42125980000003,22158.15909,167244.8917,0.165048851,6.058812252999999,1.0,112177,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,47.0,958410.9112,939532.753,960368.5075,938599.8779
29509,1006417.303,1008278.755,1011064.942,1005955.799,1164,4030.511811,22.0,284428.5714,2200969.341,7370.078740000001,Slickwater Only,70.56884703,546.0768865,192.42125980000003,22158.15909,167244.8917,0.129228775,7.738214657999999,1.0,100486,Standalone Well,Unknown,Standalone Well,Primary Frac,47.0,1009050.385,1006940.264,1011063.166,1005954.537
29510,1006905.124,1020532.09,1011064.942,1005955.799,1164,4238.188976,22.0,305000.0,2126770.829,7466.535433,Slickwater Only,71.96470042,501.8112314,192.42125980000003,22158.15909,167244.8917,0.143409904,6.973019112,1.0,100238,Standalone Well,Unknown,Standalone Well,Primary Frac,47.0,1009372.742,1019266.488,1011327.186,1018354.676
29512,974535.0206,930881.0727,978817.3065,928328.3875,1296,4563.976378,22.0,901714.2857,6528929.463,12125.0,Slickwater Linear Hybrid,197.5720755,1430.535332,192.42125980000003,22158.15909,167244.8917,0.138110588,7.240574499,1.0,104965,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,48.0,976782.9438,929283.3047,978818.7895,928326.8384
29513,955994.0081,928742.4087,953730.9054,923832.954,1296,4537.401575,22.0,940428.5714,6094769.967,11533.46457,Slickwater Only,207.2614813,1343.2291289999998,192.42125980000003,22158.15909,167244.8917,0.154300913,6.480843046,1.0,105231,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,157.0,954700.3913,925852.5667,953729.6243,923833.9489
29514,962074.3774,931157.851,957735.2449,933009.9116,1296,4616.141732,22.0,537285.7143,3836839.594,11985.23622,Slickwater Only,116.3928115,831.1788971,192.42125980000003,22158.15909,167244.8917,0.140033405,7.141153192000001,1.0,111941,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,36.0,959847.649,932038.9058,957772.9918,932984.177
29515,1033968.81,1016221.929,1029661.084,1018308.936,1208,3982.283465,22.0,537285.7143,3836839.594,4552.165354,Slickwater Only,116.3928115,831.1788971,192.42125980000003,22158.15909,167244.8917,0.140033405,7.141153192000001,1.0,100231,Standalone Well,Unknown,Standalone Well,Primary Frac,36.0,1031420.893,1017475.982,1029658.533,1018312.135
